operation,timestamp_us,latency_us
READ,1715138050551252,252
READ,1715138051556562,171
READ,1715138052563517,335
READ,1715138053568610,238
READ,1715138054571266,142
READ,1715138055577378,200
READ,1715138056581433,202
READ,1715138057585105,184
READ,1715138058590009,382
READ,1715138059595805,294
READ,1715138060600198,387
READ,1715138061605677,224
READ,1715138062610471,196
READ,1715138063617468,266
READ,1715138064621004,307
READ,1715138065625294,191
READ,1715138066629963,311
READ,1715138067634535,327
READ,1715138068639233,311
READ,1715138069644228,314
READ,1715138070648451,191
READ,1715138071654200,305
READ,1715138072658941,214
READ,1715138073663219,280
READ,1715138074667031,163
READ,1715138075671123,219
READ,1715138076675125,182
READ,1715138077680961,226
READ,1715138078688717,176
READ,1715138079691882,307
READ,1715138080697719,198
READ,1715138081705261,188
READ,1715138082708505,169
READ,1715138083714289,196
READ,1715138084720009,157
READ,1715138085725980,245
READ,1715138086731118,210
READ,1715138087735789,378
READ,1715138088742937,264
READ,1715138089745855,149
READ,1715138090749917,230
READ,1715138091754646,323
READ,1715138092759017,211
READ,1715138093765705,265
READ,1715138094768490,227
READ,1715138095773988,465
READ,1715138096779638,453
READ,1715138097787985,236
READ,1715138098793049,350
READ,1715138099797498,129
READ,1715138100804359,242
READ,1715138101811803,300
READ,1715138102816719,305
READ,1715138103821597,315
READ,1715138104826199,121
READ,1715138105836190,306
READ,1715138106840839,317
READ,1715138107846124,171
READ,1715138108850848,372
READ,1715138109854284,134
READ,1715138110858266,202
READ,1715138111863331,355
READ,1715138112867547,212
READ,1715138113875207,234
READ,1715138114878362,182
READ,1715138115883094,168
READ,1715138116889348,170
READ,1715138117893281,377
READ,1715138118900759,176
READ,1715138119904145,196
READ,1715138120908320,429
READ,1715138121912847,642
READ,1715138122917810,329
READ,1715138123926749,213
READ,1715138124933216,336
READ,1715138125940092,164
READ,1715138126946239,285
READ,1715138127950924,217
READ,1715138128956670,389
READ,1715138129959949,205
READ,1715138130964471,312
READ,1715138131972849,271
READ,1715138132977727,310
READ,1715138133982507,317
READ,1715138134989047,231
READ,1715138135994129,377
READ,1715138137000600,451
READ,1715138138006209,362
READ,1715138139011596,323
READ,1715138140018113,318
READ,1715138141024004,325
READ,1715138142028735,182
READ,1715138143032318,184
READ,1715138144041683,254
READ,1715138145046377,193
READ,1715138146050479,184
READ,1715138147053393,182
READ,1715138148059169,217
READ,1715138149065710,156
READ,1715138150069367,298
READ,1715138151074510,308
READ,1715138152083851,134
READ,1715138153094117,236
READ,1715138154101853,288
READ,1715138155106841,199
READ,1715138156110023,264
READ,1715138157113211,211
READ,1715138158118912,151
READ,1715138159121545,165
READ,1715138160124881,198
READ,1715138161128789,170
READ,1715138162136831,133
READ,1715138163140448,181
READ,1715138164142968,175
READ,1715138165146065,217
READ,1715138166149305,289
READ,1715138167153391,204
READ,1715138168162191,201
READ,1715138169165647,225
READ,1715138170169431,194
READ,1715138171173133,563
READ,1715138172175681,147
READ,1715138173178110,153
READ,1715138174182613,172
READ,1715138175185714,165
READ,1715138176190051,202
READ,1715138177200686,198
READ,1715138178207208,210
READ,1715138179213598,287
READ,1715138180219592,210
READ,1715138181224112,200
READ,1715138182226547,205
READ,1715138183232214,185
READ,1715138184235403,361
READ,1715138185239491,920
READ,1715138186243553,243
READ,1715138187247905,481
READ,1715138188250716,155
READ,1715138189255463,333
READ,1715138190259552,133
READ,1715138191266558,562
READ,1715138192272149,493
READ,1715138193279325,252
READ,1715138194286187,305
